Group Name,Pos,Team,MP,W,D,L,GF,GA,GD,Pts
A,1,Netherlands,3,2,1,0,5,1,4,7
A,2,Senegal,3,2,0,1,5,4,1,6
A,3,Ecuador,3,1,1,1,4,3,1,4
A,4,Qatar,3,0,0,3,1,7,-6,0
B,1,England,3,2,1,0,9,2,7,7
B,2,United States,3,1,2,0,2,1,1,5
B,3,Iran,3,1,0,2,4,7,-3,3
B,4,Wales,3,0,1,2,1,6,-5,1
C,1,Argentina,3,2,0,1,5,2,3,6
C,2,Poland,3,1,1,1,2,2,0,4
C,3,Mexico,3,1,1,1,2,3,-1,4
C,4,Saudi Arabia,3,1,0,2,3,5,-2,3
D,1,France,3,2,0,1,6,3,3,6
D,2,Australia,3,2,0,1,3,4,-1,6
D,3,Tunisia,3,1,1,1,1,1,0,4
D,4,Denmark,3,0,1,2,1,3,-2,1
E,1,Japan,3,2,0,1,4,3,1,6
E,2,Spain,3,1,1,1,9,3,6,4
E,3,Germany,3,1,1,1,6,5,1,4
E,4,Costa Rica,3,1,0,2,3,11,-8,3
F,1,Morocco,3,2,1,0,4,1,3,7
F,2,Croatia,3,1,2,0,4,1,3,5
F,3,Belgium,3,1,1,1,1,2,-1,4
F,4,Canada,3,0,0,3,2,7,-5,0
G,1,Brazil,3,2,0,1,3,1,2,6
G,2,Switzerland,3,2,0,1,4,3,1,6
G,3,Cameroon,3,1,1,1,4,4,0,4
G,4,Serbia,3,0,1,2,5,8,-3,1
H,1,Portugal,3,2,0,1,6,4,2,6
H,2,South Korea,3,1,1,1,4,4,0,4
H,3,Uruguay,3,1,1,1,2,2,0,4
H,4,Ghana,3,1,0,2,5,7,-2,3
